"РУП "Белоруснефть-Брестоблнефтепродукт"	98,3	102,3	103,3	99,6	98,6	99,1	96,8	92,5	94,5	96,6	99,0	99,6	99,9	100,8	100,9	101,2	101,6	102,0		
"РУП "Белоруснефть-Витебскоблнефтепродукт"	91,2	96,3	99,2	96,6	96,7	98,3	95,3	92,7	95,6	98,7	99,8	100,3	100,7	101,2	101,0	101,3	101,6	102,0		
"РУП "Белоруснефть-Гомельоблнефтепродукт"	96,4	101,4	102,6	99,4	98,8	99,7	93,3	89,8	93,2	95,2	97,7	98,7	99,7	100,9	101,1	101,5	101,6	102,0		
"РУП "Белоруснефть-Гроднооблнефтепродукт"	94,9	100,2	101,2	97,3	96,3	96,7	94,6	92,2	94,2	96,2	98,4	99,3	99,8	100,5	101,0	101,3	101,6	102,0		
"ОАО "Лиданефтепродукт"	96,6	100,4	103,4	99,4	97,8	98,1	99,6	95,0	95,6	97,2	99,4	100,4	100,7	101,5	101,4	101,5	101,6	102,0		
"РУП "Белоруснефть-Минскоблнефтепродукт"	93,7	98,5	101,3	98,6	98,0	99,0	101,9	97,4	98,4	99,1	100,7	101,1	101,0	101,4	101,2	101,3	101,6	102,0		
"РУП "Белоруснефть-Минскавтозаправка"	94,7	99,7	102,1	98,2	97,2	98,4	95,3	92,0	94,6	96,2	98,6	99,3	99,8	101,1	101,1	101,3	101,6	102,0		
"ОАО "Пуховичинефтепродукт"	101,9	108,1	110,3	105,3	103,2	102,0	98,5	93,7	94,8	96,4	98,5	99,6	100,9	101,9	102,1	101,9	101,6	102,0		
"РУП "Белоруснефть-Могилевоблнефтепродукт"	92,5	99,4	102,6	99,3	98,9	99,9	96,9	92,5	95,1	96,7	98,4	98,8	99,2	100,2	100,5	101,0	101,6	102,0		
"ПО "Белоруснефть"	94,8	99,9	102,0	98,5	97,8	98,7	96,2	92,7	95,0	96,8	98,9	99,6	100,1	100,9	101,0	101,3	101,6	102,0		
"РУП "Белоруснефть-Брестоблнефтепродукт"	84,8	84,1	86,8	93,4	98,1	101,0	103,3	105,4	106,8	108,0	109,2	110,0		
"РУП "Белоруснефть-Витебскоблнефтепродукт"	94,9	93,2	95,2	100,2	102,6	103,3	103,3	103,7	103,5	103,7	104,1	104,0		
"РУП "Белоруснефть-Гомельоблнефтепродукт"	95,5	93,4	93,9	97,7	100,3	101,4	102,4	103,0	103,0	103,5	103,9	104,0		
"РУП "Белоруснефть-Гроднооблнефтепродукт"	85,0	83,0	86,1	94,2	98,9	101,7	103,7	105,7	106,9	107,8	108,7	109,1		
"ОАО "Лиданефтепродукт"	80,7	80,0	83,6	92,2	96,9	100,6	103,7	106,2	107,9	109,8	111,0	112,0		
"РУП "Белоруснефть-Минскоблнефтепродукт"	100,1	98,8	99,8	101,5	103,1	103,3	102,5	102,6	102,8	102,9	103,1	103,0		
"РУП "Белоруснефть-Минскавтозаправка"	95,0	93,3	92,3	97,9	100,6	101,1	100,9	101,9	102,0	102,3	102,9	103,0		
"ОАО "Пуховичинефтепродукт"	100,2	95,7	97,3	102,0	104,2	104,9	104,7	104,7	104,6	104,6	104,4	104,0		
"РУП "Белоруснефть-Могилевоблнефтепродукт"	94,8	93,0	93,0	95,9	98,9	100,9	101,2	101,7	101,6	101,8	102,1	102,0		
"ПО "Белоруснефть"	92,8	91,2	92,4	97,3	100,4	101,8	102,4	103,4	103,8	104,2	104,8	105,0		
"РУП "Белоруснефть-Брестоблнефтепродукт"	12,0	8,4	7,7	3,2	0,9	-1,4	-3,4	-4,6	-5,9	-6,8	-7,6	-8,0		
"РУП "Белоруснефть-Витебскоблнефтепродукт"	0,4	-0,5	0,4	-1,5	-2,8	-3,0	-2,6	-2,5	-2,5	-2,4	-2,5	-2,0		
"РУП "Белоруснефть-Гомельоблнефтепродукт"	-2,2	-3,6	-0,7	-2,5	-2,6	-2,7	-2,7	-2,1	-1,9	-2,0	-2,3	-2,0		
"РУП "Белоруснефть-Гроднооблнефтепродукт"	9,6	9,2	8,1	2,0	-0,5	-2,4	-3,9	-5,2	-5,9	-6,5	-7,1	-7,1		
"ОАО "Лиданефтепродукт"	18,9	15,0	12,0	5,0	2,5	-0,2	-3,0	-4,7	-6,5	-8,3	-9,4	-10,0		
"РУП "Белоруснефть-Минскоблнефтепродукт"	1,8	-1,4	-1,4	-2,4	-2,4	-2,2	-1,5	-1,2	-1,6	-1,6	-1,5	-1,0		
"РУП "Белоруснефть-Минскавтозаправка"	0,3	-1,3	2,3	-1,7	-2,0	-1,8	-1,1	-0,8	-0,9	-1,0	-1,3	-1,0		
"ОАО "Пуховичинефтепродукт"	-1,7	-2,0	-2,5	-5,6	-5,7	-5,3	-3,8	-2,8	-2,5	-2,7	-2,8	-2,0		
"РУП "Белоруснефть-Могилевоблнефтепродукт"	2,1	-0,5	2,1	0,8	-0,5	-2,1	-2,0	-1,5	-1,1	-0,8	-0,5	0,0		
"ПО "Белоруснефть"	3,4	1,5	2,6	-0,5	-1,5	-2,2	-2,3	-2,5	-2,8	-2,9	-3,2	-3,0		